dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,22.980353,20.456577,41.167507,14.945253,-16.285613,8.554361,1.059490
0.010000,23.054360,20.584567,41.315354,14.784677,-16.057622,22.799129,1.033415
0.010000,23.130908,20.709218,41.461633,14.627879,-15.679825,37.779676,1.006557
0.010000,23.209996,20.830471,41.606399,14.476597,-15.128105,55.171971,0.978942
0.010000,23.291626,20.948281,41.749725,14.332653,-14.394487,73.361838,0.950608
0.010000,23.375801,21.062616,41.891704,14.197899,-13.475362,91.912469,0.921600
0.010000,23.462530,21.173461,42.032447,14.074268,-12.363138,111.222463,0.891974
0.010000,23.551828,21.280813,42.172084,13.963675,-11.059294,130.384323,0.861795
0.010000,23.643716,21.384680,42.310763,13.867902,-9.577243,148.205143,0.831137
0.010000,23.738222,21.485085,42.448649,13.788601,-7.930110,164.713336,0.800083
0.010000,23.835381,21.582057,42.585921,13.727199,-6.140192,178.991770,0.768722
0.010000,23.935236,21.675634,42.722769,13.684830,-4.236939,190.325314,0.737149
0.010000,24.037831,21.765856,42.859392,13.662265,-2.256505,198.043372,0.705463
0.010000,24.143217,21.852765,42.995991,13.659938,-0.232708,202.379661,0.673766
0.010000,24.251443,21.936404,43.132770,13.677881,1.794312,202.702013,0.642158
0.010000,24.362557,22.016812,43.269926,13.715609,3.772828,197.851670,0.610739
0.010000,24.476604,22.094023,43.407651,13.772498,5.688853,191.602442,0.579604
0.010000,24.593618,22.168067,43.546124,13.847341,7.484298,179.544508,0.548844
0.010000,24.713626,22.238968,43.685512,13.938732,9.139167,165.486882,0.518540
0.010000,24.836641,22.306746,43.825962,14.045057,10.632429,149.326274,0.488768
0.010000,24.962663,22.371413,43.967608,14.164561,11.950464,131.803436,0.459594
0.010000,25.091678,22.432981,44.110561,14.295341,13.077990,112.752649,0.431073
0.010000,25.223658,22.491458,44.254916,14.435466,14.012528,93.453761,0.403252
0.010000,25.358559,22.546850,44.400746,14.582988,14.752174,73.964613,0.376169
0.010000,25.496321,22.599165,44.548107,14.736160,15.317215,56.504051,0.349853
0.010000,25.636878,22.648411,44.697041,14.893391,15.723105,40.589075,0.324321
0.010000,25.780146,22.694598,44.847570,15.052914,15.952221,22.911583,0.299588
0.010000,25.926035,22.737742,44.999706,15.213516,16.060284,10.806332,0.275658
0.010000,26.074448,22.777861,45.153445,15.373903,16.038700,-2.158458,0.252529
0.010000,26.225278,22.814975,45.308774,15.532912,15.900875,-13.782480,0.230195
0.010000,26.378417,22.849114,45.465673,15.689884,15.697229,-20.364626,0.208646
0.010000,26.533754,22.880307,45.624111,15.843795,15.391059,-30.617021,0.187866
0.010000,26.691175,22.908592,45.784052,15.994179,15.038388,-35.267051,0.167839
0.010000,26.850569,22.934006,45.945460,16.140731,14.655228,-38.315974,0.148543
0.010000,26.997013,22.954515,46.093333,14.787303,-135.342854,-14999.808281,0.125049
0.010000,27.126553,22.968486,46.223624,13.029097,-175.820597,-4047.774242,0.090197
0.010000,27.259670,22.978269,46.357100,13.347608,31.851177,20767.177370,0.056939
0.010000,27.396663,22.983886,46.494208,13.710836,36.322712,447.153484,0.025496
0.010000,27.537766,22.985372,46.635319,14.111102,40.026655,370.394334,6.279239
0.010000,27.683151,22.982777,46.780726,14.540723,42.962135,293.548007,6.251945
0.010000,27.832930,22.976180,46.930651,14.992456,45.173259,221.112401,6.226909
0.010000,27.987172,22.965694,47.085249,15.459842,46.738550,156.529097,6.204210
0.010000,28.145910,22.951468,47.244623,15.937412,47.757018,101.846807,6.183898
